term,normalized_term,domain,domain_score,second_domain,second_domain_score,score_margin,confidence,assignment_method,matched_keywords,matched_strong_keywords,reason,table_count,total_occurrences,matched_override_rules
Share of imports by partner (%),share of imports by partner (%),"Business, industry and trade",0.297178,Housing and construction,0.0,0.297178,high,rule_override_and_tfidf,,imports,"Best profile: Business, industry and trade; score=0.2972; margin=0.2972; override_rules=imports; strong_keywords=imports",1,20,imports
Share of imports by product (%),share of imports by product (%),"Business, industry and trade",0.296832,Economy and national accounts,0.063297,0.233535,high,rule_override_and_tfidf,,imports,"Best profile: Business, industry and trade; score=0.2968; margin=0.2335; override_rules=imports; strong_keywords=imports",2,16,imports
Share of national exports in world exports (%),share of national exports in world exports (%),"Business, industry and trade",0.293284,Economy and national accounts,0.039605,0.253679,high,rule_override_and_tfidf,,exports,"Best profile: Business, industry and trade; score=0.2933; margin=0.2537; override_rules=exports; strong_keywords=exports",1,10,exports
Share of exports by partner (%),share of exports by partner (%),"Business, industry and trade",0.292315,Housing and construction,0.0,0.292315,high,rule_override_and_tfidf,,exports,"Best profile: Business, industry and trade; score=0.2923; margin=0.2923; override_rules=exports; strong_keywords=exports",1,20,exports
Share of exports by product (%),share of exports by product (%),"Business, industry and trade",0.291985,Economy and national accounts,0.063799,0.228186,high,rule_override_and_tfidf,,exports,"Best profile: Business, industry and trade; score=0.2920; margin=0.2282; override_rules=exports; strong_keywords=exports",2,16,exports
"Imports of goods & services, as a share of GDP (%)","imports of goods & services, as a share of gdp (%)","Business, industry and trade",0.284924,Economy and national accounts,0.329171,-0.044247,high,rule_override_and_tfidf,,imports,"Best profile: Business, industry and trade; score=0.2849; margin=-0.0442; override_rules=imports; strong_keywords=imports",1,9,imports
Imports of goods - total,imports of goods - total,"Business, industry and trade",0.284307,Housing and construction,0.0,0.284307,high,rule_override_and_tfidf,,imports,"Best profile: Business, industry and trade; score=0.2843; margin=0.2843; override_rules=imports; strong_keywords=imports",1,1,imports
Share of imports by Member State (%),share of imports by member state (%),"Business, industry and trade",0.282055,Housing and construction,0.0,0.282055,high,rule_override_and_tfidf,,imports,"Best profile: Business, industry and trade; score=0.2821; margin=0.2821; override_rules=imports; strong_keywords=imports",2,56,imports
"Exports of goods & services, as a share of GDP (%)","exports of goods & services, as a share of gdp (%)","Business, industry and trade",0.280826,Economy and national accounts,0.329401,-0.048575,high,rule_override_and_tfidf,,exports,"Best profile: Business, industry and trade; score=0.2808; margin=-0.0486; override_rules=exports; strong_keywords=exports",1,9,exports
Exports of goods - total,exports of goods - total,"Business, industry and trade",0.279124,Housing and construction,0.0,0.279124,high,rule_override_and_tfidf,,exports,"Best profile: Business, industry and trade; score=0.2791; margin=0.2791; override_rules=exports; strong_keywords=exports",1,1,exports
Share of exports by Member State (%),share of exports by member state (%),"Business, industry and trade",0.27798,Housing and construction,0.0,0.27798,high,rule_override_and_tfidf,,exports,"Best profile: Business, industry and trade; score=0.2780; margin=0.2780; override_rules=exports; strong_keywords=exports",2,56,exports
Unit value of imports,unit value of imports,"Business, industry and trade",0.276902,Economy and national accounts,0.019769,0.257133,high,rule_override_and_tfidf,,imports,"Best profile: Business, industry and trade; score=0.2769; margin=0.2571; override_rules=imports; strong_keywords=imports",1,1,imports
Imports of goods and services in % of GDP,imports of goods and services in % of gdp,"Business, industry and trade",0.274052,Economy and national accounts,0.332019,-0.057967,high,rule_override_and_tfidf,,imports,"Best profile: Business, industry and trade; score=0.2741; margin=-0.0580; override_rules=imports; strong_keywords=imports",1,1,imports
Unit value of exports,unit value of exports,"Business, industry and trade",0.272007,Economy and national accounts,0.019919,0.252088,high,rule_override_and_tfidf,,exports,"Best profile: Business, industry and trade; score=0.2720; margin=0.2521; override_rules=exports; strong_keywords=exports",1,1,exports
Exports of goods and services in % of GDP,exports of goods and services in % of gdp,"Business, industry and trade",0.269498,Economy and national accounts,0.332324,-0.062826,high,rule_override_and_tfidf,,exports,"Best profile: Business, industry and trade; score=0.2695; margin=-0.0628; override_rules=exports; strong_keywords=exports",1,1,exports
Imports of goods - raw materials,imports of goods - raw materials,"Business, industry and trade",0.268533,Housing and construction,0.0,0.268533,high,rule_override_and_tfidf,,imports,"Best profile: Business, industry and trade; score=0.2685; margin=0.2685; override_rules=imports; strong_keywords=imports",1,1,imports
Imports of goods - other manufactured products,imports of goods - other manufactured products,"Business, industry and trade",0.267153,Housing and construction,0.0,0.267153,high,rule_override_and_tfidf,,imports,"Best profile: Business, industry and trade; score=0.2672; margin=0.2672; override_rules=manufacturing, imports; strong_keywords=imports",1,1,manufacturing|imports
High-tech exports,high-tech exports,"Business, industry and trade",0.267115,Housing and construction,0.0,0.267115,high,rule_override_and_tfidf,,exports,"Best profile: Business, industry and trade; score=0.2671; margin=0.2671; override_rules=exports; strong_keywords=exports",1,1,exports
Exports of goods - raw materials,exports of goods - raw materials,"Business, industry and trade",0.264362,Housing and construction,0.0,0.264362,high,rule_override_and_tfidf,,exports,"Best profile: Business, industry and trade; score=0.2644; margin=0.2644; override_rules=exports; strong_keywords=exports",1,1,exports
Exports of goods - other manufactured products,exports of goods - other manufactured products,"Business, industry and trade",0.263081,Housing and construction,0.0,0.263081,high,rule_override_and_tfidf,,exports,"Best profile: Business, industry and trade; score=0.2631; margin=0.2631; override_rules=manufacturing, exports; strong_keywords=exports",1,1,manufacturing|exports
Production in industry - energy,production in industry - energy,"Business, industry and trade",0.262882,Energy,0.228205,0.034677,high,rule_override_and_tfidf,industry|production,,"Best profile: Business, industry and trade; score=0.2629; margin=0.0347; override_rules=industry; keywords=industry, production",1,1,industry
Imports of goods - machinery and transport equipment,imports of goods - machinery and transport equipment,"Business, industry and trade",0.262336,Transport and mobility,0.130589,0.131747,high,rule_override_and_tfidf,,imports,"Best profile: Business, industry and trade; score=0.2623; margin=0.1317; override_rules=imports; strong_keywords=imports",1,1,imports
Imports of goods - chemicals and related products,imports of goods - chemicals and related products,"Business, industry and trade",0.261996,Housing and construction,0.0,0.261996,high,rule_override_and_tfidf,,imports,"Best profile: Business, industry and trade; score=0.2620; margin=0.2620; override_rules=imports; strong_keywords=imports",1,1,imports
Imports of goods - food drinks and tobacco,imports of goods - food drinks and tobacco,"Business, industry and trade",0.26075,"Agriculture, forestry and fisheries",0.026647,0.234103,high,rule_override_and_tfidf,,imports,"Best profile: Business, industry and trade; score=0.2608; margin=0.2341; override_rules=imports; strong_keywords=imports",1,1,imports
Exports of goods - machinery and transport equipment,exports of goods - machinery and transport equipment,"Business, industry and trade",0.258626,Transport and mobility,0.130883,0.127744,high,rule_override_and_tfidf,,exports,"Best profile: Business, industry and trade; score=0.2586; margin=0.1277; override_rules=exports; strong_keywords=exports",1,1,exports
Exports of goods - chemicals and related products,exports of goods - chemicals and related products,"Business, industry and trade",0.258312,Housing and construction,0.0,0.258312,high,rule_override_and_tfidf,,exports,"Best profile: Business, industry and trade; score=0.2583; margin=0.2583; override_rules=exports; strong_keywords=exports",1,1,exports
Exports of goods - food drinks and tobacco,exports of goods - food drinks and tobacco,"Business, industry and trade",0.257163,"Agriculture, forestry and fisheries",0.02679,0.230373,high,rule_override_and_tfidf,,exports,"Best profile: Business, industry and trade; score=0.2572; margin=0.2304; override_rules=exports; strong_keywords=exports",1,1,exports
Imports of goods - mineral fuels lubricants and related materials,imports of goods - mineral fuels lubricants and related materials,"Business, industry and trade",0.252997,Energy,0.029736,0.223261,high,rule_override_and_tfidf,,imports,"Best profile: Business, industry and trade; score=0.2530; margin=0.2233; override_rules=imports; strong_keywords=imports",1,1,imports
Share of value added in EU Member States supported by EU exports FIGARO application,share of value added in eu member states supported by eu exports figaro application,"Business, industry and trade",0.252742,Economy and national accounts,0.111394,0.141348,high,rule_override_and_tfidf,,exports,"Best profile: Business, industry and trade; score=0.2527; margin=0.1413; override_rules=exports; strong_keywords=exports",1,1,exports
Gross external debt of the whole economy relative to exports of goods and services,gross external debt of the whole economy relative to exports of goods and services,"Business, industry and trade",0.250486,Economy and national accounts,0.040937,0.209549,high,rule_override_and_tfidf,,exports,"Best profile: Business, industry and trade; score=0.2505; margin=0.2095; override_rules=exports; strong_keywords=exports",1,1,exports
Exports of goods - mineral fuels lubricants and related materials,exports of goods - mineral fuels lubricants and related materials,"Business, industry and trade",0.250037,Energy,0.029841,0.220196,high,rule_override_and_tfidf,,exports,"Best profile: Business, industry and trade; score=0.2500; margin=0.2202; override_rules=exports; strong_keywords=exports",1,1,exports
Production in industry - capital goods,production in industry - capital goods,"Business, industry and trade",0.248069,"Agriculture, forestry and fisheries",0.047058,0.201011,high,rule_override_and_tfidf,industry|production,,"Best profile: Business, industry and trade; score=0.2481; margin=0.2010; override_rules=industry; keywords=industry, production",1,1,industry
